elapsed_s,cpu0,cpu1,cpu_avg,heap_free,rssi
0,2,1,1,169476,-56
2,2,1,1,169476,-52
7,2,1,1,169480,-52
12,2,2,2,169480,-50
17,3,1,2,169480,-51
22,2,1,1,169480,-48
27,2,1,1,169480,-51
32,2,1,1,169480,-54
37,2,1,1,169480,-51
42,2,2,2,169480,-49
47,2,1,1,169480,-49
52,2,1,1,169480,-50
57,2,1,1,169480,-49
62,2,1,1,169480,-49
67,2,1,1,169480,-50
72,2,2,2,169480,-53
77,2,1,1,169480,-54
82,2,1,1,169480,-55
88,2,1,1,169480,-56
92,2,1,1,169480,-54
97,2,1,1,169480,-55
102,2,2,2,169480,-59
107,2,1,1,169480,-58
112,2,1,1,169480,-57
117,2,1,1,169480,-63
122,2,1,1,169480,-60
127,2,1,1,169480,-60
132,2,2,2,169480,-56
137,2,1,1,169480,-56
142,2,1,1,169480,-55
147,2,1,1,169480,-55
152,2,1,1,169480,-49
157,2,1,1,169480,-52
162,2,2,2,169480,-53
167,2,1,1,169480,-55
172,2,1,1,169480,-55
177,2,1,1,169480,-54
182,2,1,1,169480,-59
187,2,1,1,169480,-53
192,2,2,2,169480,-61
197,3,1,2,169480,-58
202,2,1,1,169480,-52
207,2,1,1,169480,-52
212,2,1,1,169480,-52
217,2,1,1,169480,-53
222,2,2,2,169480,-54
227,2,1,1,169480,-54
232,2,1,1,169480,-56
237,2,1,1,169480,-53
242,2,1,1,169480,-56
247,2,1,1,169480,-52
252,2,2,2,169480,-59
257,2,1,1,169480,-56
262,2,1,1,169480,-55
267,2,1,1,169480,-56
272,2,1,1,169480,-56
277,2,1,1,169480,-55
282,2,2,2,169480,-56
287,2,1,1,169480,-60
292,2,1,1,169480,-54
297,2,1,1,169480,-56
302,2,1,1,169480,-56
307,2,1,1,169480,-56
312,2,2,2,169480,-57
317,3,0,1,169480,-53
322,2,1,1,169480,-55
327,2,1,1,169480,-60
332,2,1,1,169480,-59
337,2,1,1,169480,-58
342,2,2,2,169480,-58
347,2,1,1,169480,-60
352,2,1,1,169480,-58
357,2,1,1,169480,-59
362,2,1,1,169480,-58
367,2,1,1,169480,-57
