board,cycle,tlscfg,time_connect_span_ms,time_connect_total_ms,heap_entry_free,heap_pre_start_free,heap_connected_free,heap_connected_largest,retained_delta,heap_low_water_5s_free
lights,0,plain,436,436,226924,223804,216108,110592,7696,174128
lights,1,plain,48,49,226924,223808,216304,110592,7504,174200
lights,2,plain,44,44,226924,223808,216304,110592,7504,173900
lights,3,plain,1103,1103,226924,223796,216108,110592,7688,174152
lights,4,plain,244,245,226908,223772,216268,110592,7504,173880
lights,5,plain,34,35,226912,223792,216292,110592,7500,174184
lights,6,plain,44,44,226924,223800,216304,110592,7496,174196
lights,7,plain,273,274,226912,223788,216288,110592,7500,174172
lights,8,plain,269,269,226912,223788,216288,110592,7500,174172
lights,9,plain,103,104,226920,223812,216320,110592,7492,174168
lights,10,plain,54,54,226916,223788,216288,110592,7500,173048
lights,11,plain,377,377,226924,223808,216304,110592,7504,174200
lights,12,plain,325,326,226916,223788,216288,110592,7500,173908
lights,13,plain,61,61,226924,223808,216304,110592,7504,174172
lights,14,plain,48,49,226912,223788,216288,110592,7500,174144
lights,15,plain,40,40,226920,223812,216124,110592,7492,174224
lights,16,plain,470,470,226924,223808,216304,110592,7504,174196
lights,17,plain,41,41,226924,223808,216304,110592,7504,173916
lights,18,plain,53,53,226916,223788,216288,110592,7500,174200
lights,19,plain,72,72,226920,223804,216304,110592,7500,174220
lights,20,plain,64,64,226924,223808,216304,110592,7504,174232
lights,21,plain,41,41,226912,223788,216092,110592,7696,174104
lights,22,plain,53,54,226924,223808,216304,110592,7504,174188
lights,23,plain,43,44,226924,223808,216304,110592,7504,173992
lights,24,plain,43,44,226912,223792,216096,110592,7696,174168
lights,25,plain,58,58,226924,223808,216304,110592,7504,174180
lights,26,plain,58,58,226912,223792,216304,110592,7488,174188
lights,27,plain,44,44,226920,223812,216320,110592,7492,174180
lights,28,plain,232,232,226924,223808,216304,110592,7504,174196
lights,29,plain,42,42,226916,223808,216316,110592,7492,174184
