timestamp,elapsed_s,t1,t2,t3,t4
2026-08-04T22:38:00+0200,0,21.2,23.9,18.7,25.8
2026-08-04T22:38:09+0200,9,21.4,23.9,18.2,26.1
2026-08-04T22:38:39+0200,39,21.3,24.1,17.9,26.4
2026-08-04T22:39:09+0200,69,21.0,24.0,17.9,26.9
2026-08-04T22:39:39+0200,99,20.7,23.6,18.2,26.5
2026-08-04T22:40:09+0200,129,20.8,23.4,18.0,26.2
2026-08-04T22:40:39+0200,159,20.4,23.7,17.5,26.7
2026-08-04T22:41:09+0200,189,20.2,23.2,17.8,27.0
2026-08-04T22:41:39+0200,219,20.1,23.3,18.2,27.3
2026-08-04T22:42:09+0200,249,20.0,23.3,18.1,27.4
2026-08-04T22:42:39+0200,279,19.9,23.4,17.6,27.2
2026-08-04T22:43:09+0200,309,19.6,23.4,17.2,26.9
2026-08-04T22:43:39+0200,339,20.0,23.4,17.5,27.0
